Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
642,2111.97,3.39
643,2115.06,3.09
644,2118.03,2.97
645,2120.5,2.47
646,2123.83,3.33
647,2127,3.17
648,2129.61,2.61
649,2132.34,2.73
650,2134.97,2.63
651,2137.87,2.9
652,2140.59,2.72
653,2143.98,3.39
654,2146.78,2.8
655,2149.34,2.56
656,2152.56,3.22
657,2155.44,2.88
658,2158.45,3.01
659,2161.33,2.88
660,2164.11,2.78
661,2167.14,3.03
662,2172,4.86
663,2174.75,2.75
664,2177.7,2.95
665,2181.11,3.41
666,2183.59,2.48
667,2186.7,3.11
668,2189.25,2.55
669,2192.06,2.81
670,2195.08,3.02
671,2197.5,2.42
672,2200.2,2.7
673,2203.39,3.19
674,2206.08,2.69
675,2208.8,2.72
676,2211.66,2.86
677,2214.11,2.45
678,2216.59,2.48
679,2218.86,2.27
680,2221.98,3.12
681,2231.83,9.85
682,2234.44,2.61
683,2237.45,3.01
684,2240.95,3.5
685,2244.2,3.25
686,2247.16,2.96
687,2251.53,4.37
688,2254.25,2.72
689,2256.94,2.69
690,2260.53,3.59
691,2263.77,3.24
692,2267.58,3.81
693,2270.97,3.39
694,2274.56,3.59
695,2278.25,3.69
696,2281.23,2.98
697,2284.39,3.16
698,2287.27,2.88
699,2291,3.73
700,2294.16,3.16
701,2297.7,3.54
702,2300.89,3.19
703,2303.83,2.94
704,2306.86,3.03
705,2309.95,3.09
706,2312.55,2.6
707,2315.86,3.31
708,2318.95,3.09
709,2321.55,2.6
710,2325.11,3.56
711,2328.25,3.14
712,2332.16,3.91
713,2335.02,2.86
714,2337.59,2.57
715,2340.48,2.89
716,2343.34,2.86
717,2346.23,2.89
718,2349,2.77
719,2352.61,3.61
720,2354.84,2.23
721,2365.59,10.75
722,2368.8,3.21
723,2371.7,2.9
724,2374.37,2.67
725,2378.33,3.96
726,2381.53,3.2
727,2384.55,3.02
728,2388.27,3.72
729,2391.61,3.34
730,2395,3.39
731,2398,3
732,2401.97,3.97
733,2404.84,2.87
734,2408.02,3.18
735,2411.94,3.92
736,2415.28,3.34
737,2417.81,2.53
738,2421.03,3.22
739,2424.3,3.27
740,2427.09,2.79
741,2429.5,2.41
742,2431.84,2.34
743,2434.58,2.74
744,2438.48,3.9
745,2441.56,3.08
746,2444.59,3.03
747,2447.44,2.85
748,2451,3.56
749,2453.37,2.37
750,2456.05,2.68
751,2458.94,2.89
752,2461.72,2.78
753,2464.87,3.15
754,2467.36,2.49
755,2470.84,3.48
756,2473.55,2.71
757,2476.86,3.31
758,2480.12,3.26
759,2483.3,3.18
760,2486.64,3.34
761,2496.52,9.88
762,2499.27,2.75
763,2503.3,4.03
764,2506.37,3.07
765,2510.53,4.16
766,2513.31,2.78
767,2515.77,2.46
768,2519.34,3.57
769,2523.25,3.91
770,2526.03,2.78
771,2529.05,3.02
772,2533,3.95
773,2535.91,2.91
774,2538.48,2.57
775,2542.27,3.79
776,2544.52,2.25
777,2546.84,2.32
778,2549.73,2.89
779,2552.09,2.36
780,2555.33,3.24
781,2557.98,2.65
782,2560.89,2.91
783,2564.08,3.19
784,2566.95,2.87
785,2569.59,2.64
786,2573.11,3.52
787,2576.16,3.05
788,2578.92,2.76
789,2581.87,2.95
790,2584.77,2.9
791,2587.58,2.81
792,2591,3.42
793,2594.34,3.34
